brand,name,former_price,current_price,discount
Oakley,Barrelhouse,,255.0,
Oakley,Socket 5.5,,227.0,
Oakley,Holbrook RX,,187.0,
Oakley,Enigma Mass,,255.0,
Ray-Ban,RB6348D,182.0,127.4,30% Off
Ray-Ban,RB3925V,222.0,155.4,30% Off
Ray-Ban,RB5446,,186.0,
Ray-Ban,RB8780D,,276.0,
Ray-Ban,RB7017,,222.0,
Ray-Ban,RB5154 Clubmaster,,222.0,
Persol,PO3263V,,363.0,
Versace,VE1285,300.0,210.0,30% Off
Gucci,GG1340O,305.0,259.25,15% Off
Kate Spade,Lucyann,230.0,161.0,30% Off
Burberry,BE2420,421.0,294.7,30% Off
Dolce & Gabbana,DG3415,335.0,234.5,30% Off
Versace,VE1175B,316.0,221.2,30% Off
Coach,HC6065,255.0,178.5,30% Off
Giorgio Armani,AR7202,545.0,381.5,30% Off
RALPH by Ralph Lauren,RA7158U,141.0,98.7,30% Off
Ray-Ban,RB7047,,176.0,
Ray-Ban,RB7140,,237.0,
Ray-Ban,RB6335,,210.0,
Ray-Ban,RB5268,,176.0,
